created_at,entry_id,Temperature,Humidity,Moisture Sensor,Light Sensor,latitude,longitude,elevation,status
2023-02-06T11:59:42+07:00,1,28,86,1304,222,,,,Bukan Fuzzy
2023-02-06T12:00:05+07:00,2,28,86,1314,265,,,,Bukan Fuzzy
2023-02-06T12:00:25+07:00,3,28,84,1356,291,,,,Bukan Fuzzy
2023-02-06T12:00:48+07:00,4,28,84,1305,291,,,,Bukan Fuzzy
2023-02-06T12:01:07+07:00,5,28,84,1305,312,,,,Bukan Fuzzy
2023-02-06T12:01:25+07:00,6,28,84,1358,305,,,,Bukan Fuzzy
2023-02-06T12:01:45+07:00,7,28,85,1343,326,,,,Bukan Fuzzy
2023-02-06T12:02:04+07:00,8,28,79,1267,324,,,,Bukan Fuzzy
2023-02-06T12:02:26+07:00,9,28,80,1342,328,,,,Bukan Fuzzy
2023-02-06T12:02:45+07:00,10,28,83,1321,325,,,,Bukan Fuzzy
2023-02-06T12:03:22+07:00,11,28,84,1273,330,,,,Bukan Fuzzy
2023-02-06T14:58:45+07:00,12,28,84,1360,77,,,,Bukan Fuzzy
2023-02-06T14:59:03+07:00,13,29,83,1359,76,,,,Bukan Fuzzy
2023-02-06T14:59:23+07:00,14,29,83,1390,77,,,,Bukan Fuzzy
2023-02-06T14:59:41+07:00,15,29,85,1383,76,,,,Bukan Fuzzy
2023-02-06T15:00:00+07:00,16,29,85,1392,76,,,,Bukan Fuzzy
2023-02-06T15:00:35+07:00,17,29,84,1429,76,,,,Bukan Fuzzy
2023-02-06T15:01:04+07:00,18,29,83,1361,66,,,,Bukan Fuzzy
2023-02-06T15:01:29+07:00,19,29,83,1374,73,,,,Bukan Fuzzy
2023-02-06T15:01:57+07:00,20,29,83,1374,73,,,,Bukan Fuzzy
2023-02-06T15:02:27+07:00,21,29,83,1398,70,,,,Bukan Fuzzy
2023-02-06T15:02:50+07:00,22,29,84,1386,68,,,,Bukan Fuzzy
2023-02-06T15:03:07+07:00,23,29,83,1448,67,,,,Bukan Fuzzy
2023-02-06T15:03:27+07:00,24,29,84,1437,65,,,,Bukan Fuzzy
2023-02-06T15:03:47+07:00,25,29,83,1434,43,,,,Fuzzy
2023-02-06T15:04:07+07:00,26,29,83,1367,62,,,,Bukan Fuzzy
2023-02-06T15:04:27+07:00,27,29,83,1446,61,,,,Bukan Fuzzy
2023-02-06T15:04:48+07:00,28,29,82,1376,60,,,,Bukan Fuzzy
2023-02-06T15:05:09+07:00,29,29,82,1478,59,,,,Bukan Fuzzy
2023-02-06T15:05:29+07:00,30,29,82,1358,57,,,,Bukan Fuzzy
2023-02-06T15:05:48+07:00,31,29,82,1387,56,,,,Bukan Fuzzy
2023-02-06T15:06:09+07:00,32,29,82,1417,55,,,,Bukan Fuzzy
2023-02-06T15:06:27+07:00,33,29,82,1472,54,,,,Fuzzy
2023-02-06T15:06:50+07:00,34,29,81,1414,53,,,,Fuzzy
2023-02-06T15:07:07+07:00,35,29,83,1442,52,,,,Fuzzy
2023-02-06T15:07:29+07:00,36,29,82,1361,50,,,,Fuzzy
2023-02-06T15:07:47+07:00,37,29,80,1409,50,,,,Fuzzy
2023-02-06T15:08:07+07:00,38,29,82,1390,49,,,,Fuzzy
2023-02-06T15:08:29+07:00,39,29,81,1334,48,,,,Fuzzy
2023-02-06T15:08:52+07:00,40,29,82,1347,47,,,,Fuzzy
2023-02-06T15:09:27+07:00,41,29,83,1182,46,,,,Fuzzy
2023-02-06T15:09:48+07:00,42,29,83,1423,46,,,,Fuzzy
2023-02-06T15:10:09+07:00,43,29,84,1343,50,,,,Fuzzy
2023-02-06T15:10:28+07:00,44,29,84,1372,47,,,,Fuzzy
2023-02-06T15:10:52+07:00,45,29,84,1404,46,,,,Fuzzy
2023-02-06T15:11:08+07:00,46,29,84,1421,26,,,,Fuzzy
2023-02-06T15:11:33+07:00,47,29,85,1392,33,,,,Fuzzy
2023-02-06T15:12:09+07:00,48,29,85,1392,49,,,,Fuzzy
2023-02-06T15:12:27+07:00,49,29,85,1403,50,,,,Fuzzy
2023-02-06T15:12:50+07:00,50,29,84,1446,51,,,,Fuzzy
2023-02-06T15:13:09+07:00,51,29,84,1464,52,,,,Fuzzy
2023-02-06T15:13:28+07:00,52,29,85,1404,52,,,,Fuzzy
2023-02-06T15:13:47+07:00,53,29,82,1395,53,,,,Fuzzy
2023-02-06T15:14:08+07:00,54,29,82,1422,53,,,,Fuzzy
2023-02-06T15:14:28+07:00,55,29,83,1391,54,,,,Fuzzy
2023-02-06T15:14:50+07:00,56,29,84,1351,55,,,,Bukan Fuzzy
2023-02-06T15:15:07+07:00,57,29,81,1428,55,,,,Bukan Fuzzy
2023-02-06T15:15:37+07:00,58,29,80,1422,56,,,,Bukan Fuzzy
2023-02-06T15:16:11+07:00,59,29,80,1402,56,,,,Bukan Fuzzy
2023-02-06T15:16:43+07:00,60,28,78,1375,56,,,,Bukan Fuzzy
2023-02-06T15:17:08+07:00,61,28,77,1267,55,,,,Bukan Fuzzy
2023-02-06T15:17:27+07:00,62,28,77,1414,55,,,,Bukan Fuzzy
2023-02-06T15:17:47+07:00,63,28,78,1401,56,,,,Bukan Fuzzy
2023-02-06T15:18:07+07:00,64,28,77,1371,56,,,,Bukan Fuzzy
2023-02-06T15:18:27+07:00,65,28,78,1359,55,,,,Bukan Fuzzy
2023-02-06T15:19:04+07:00,66,28,78,1367,55,,,,Bukan Fuzzy
2023-02-06T15:19:27+07:00,67,28,77,1414,55,,,,Bukan Fuzzy
2023-02-06T15:19:48+07:00,68,28,77,1405,55,,,,Bukan Fuzzy
2023-02-06T15:20:07+07:00,69,28,77,1354,55,,,,Bukan Fuzzy
2023-02-06T15:20:27+07:00,70,28,77,1335,55,,,,Bukan Fuzzy
2023-02-06T15:20:49+07:00,71,28,77,1454,56,,,,Bukan Fuzzy
2023-02-06T15:21:09+07:00,72,28,77,1445,56,,,,Bukan Fuzzy
2023-02-06T15:21:31+07:00,73,28,77,1409,56,,,,Bukan Fuzzy
2023-02-06T15:21:48+07:00,74,28,77,1371,56,,,,Bukan Fuzzy
2023-02-06T15:22:07+07:00,75,27,76,1400,55,,,,Bukan Fuzzy
2023-02-06T15:22:27+07:00,76,27,76,1368,56,,,,Bukan Fuzzy
2023-02-06T15:22:47+07:00,77,27,76,1352,56,,,,Bukan Fuzzy
2023-02-06T15:23:07+07:00,78,27,76,1376,52,,,,Fuzzy
2023-02-06T15:23:27+07:00,79,27,76,1411,55,,,,Bukan Fuzzy
2023-02-06T15:23:48+07:00,80,27,76,1556,55,,,,Bukan Fuzzy
2023-02-06T15:24:09+07:00,81,27,76,1413,53,,,,Fuzzy
2023-02-06T15:24:27+07:00,82,27,77,1378,53,,,,Fuzzy
2023-02-06T15:24:47+07:00,83,27,77,1409,53,,,,Fuzzy
2023-02-06T15:25:08+07:00,84,27,77,1376,52,,,,Fuzzy
2023-02-06T15:25:27+07:00,85,27,76,1368,51,,,,Fuzzy
2023-02-06T15:25:47+07:00,86,27,77,1413,50,,,,Fuzzy
2023-02-06T15:26:07+07:00,87,27,76,1369,48,,,,Fuzzy
2023-02-06T15:26:27+07:00,88,27,76,1421,47,,,,Fuzzy
2023-02-06T15:26:48+07:00,89,27,76,1402,46,,,,Fuzzy
2023-02-06T15:27:13+07:00,90,27,76,1387,45,,,,Fuzzy
2023-02-06T15:27:29+07:00,91,27,76,1374,43,,,,Fuzzy
2023-02-06T15:27:55+07:00,92,27,76,1383,42,,,,Fuzzy
2023-02-06T15:28:27+07:00,93,27,77,1347,40,,,,Fuzzy
2023-02-06T15:28:53+07:00,94,27,77,1409,39,,,,Fuzzy
2023-02-06T15:29:21+07:00,95,27,77,1334,38,,,,Fuzzy
2023-02-06T15:29:47+07:00,96,27,78,1410,37,,,,Fuzzy
2023-02-06T15:30:10+07:00,97,27,77,1392,36,,,,Fuzzy
2023-02-06T15:30:27+07:00,98,27,77,1368,36,,,,Fuzzy
